product_variant_information_department,product_variant_information_category,product_variant_information_subcategory,revised_department,revised_category,revised_subcategory
Handbags,Handbags,Totes,Women's,Handbags,Totes
Handbags,Handbags,Crossbody Bags,Guest Brands,Handbags,Crossbody Bags
Handbags,Handbags,Satchel,Guest Brands,Handbags,Satchel
Hats,Hats,Hats,Guest Brands,Accessories,Hats
Men's,Men's Shoes,Boots,Men's,Shoes,Boot
Men's,Men's Shoes,Sandals,Men's,Shoes,Sandal
Men's,Men's Socks,Men's Socks,Guest Brands,Accessories,Socks
Men's,Men's Belts,Belts,Men's,Small Leather Goods,Belts
Men's,Men's Shoes,Lace Up,Men's,Shoes,Lace Up
Men's,Men's Shoes,Driving,Men's,Shoes,Moccasin
Men's,Men's Shoes,Loafers,Men's,Shoes,Loafers
Men's,Men's Shoes,Sneaker/Slip On/White Bottom,Men's,Shoes,Sneaker
Small Leather Goods,Small Leather Goods,Wallets,Guest Brands,Small Leather Goods,Wallets
Small Leather Goods,Small Leather Goods,Pouches,Guest Brands,Small Leather Goods,Pouches
Sunglasses,Sunglasses,Sunglasses,Guest Brands,Accessories,Sunglasses
Women's,Shoes,Pump,Women's,Shoes,Pump
Women's,Shoes,Sandal,Women's,Shoes,Sandal
Women's,Shoes,Flat,Women's,Shoes,Flat
Women's,Shoes,Sneaker,Women's,Shoes,Sneaker
Women's,Shoes,Boot,Women's,Shoes,Boot
Women's,Shoes,Espadrille,Women's,Shoes,Espadrille
Women's,Shoes,Components,Women's,Shoes,Components
Women's,Shoes,Moccasin,Women's,Shoes,Moccasin
Women's,Shoes,Mule,Women's,Shoes,Mule
Women's,Shoes,Bootie,Women's,Shoes,Bootie
